Name,Movie_url,Poster_url,Year,Category,Run_Time,Rating,Storyline,Index
"The Good, the Bad and the Ugly",https://www.imdb.com/title/tt0060196/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BNjJlYmNkZGItM2NhYy00MjlmLTk5NmQtNjg1NmM2ODU4OTMwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX140_CR0,0,140,209_AL_.jpg",1966,"Adventure, Western            ",178 min,8.8,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,23
The Human Condition III: A Soldier's Prayer,https://www.imdb.com/title/tt0055233/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMmNiZjkzM2MtYjc0ZC00YmQ2LWJlZTEtOWUwMTBmMjFkN2UwXkEyXkFqcGdeQXVyNjI2OTgxNzY@._V1_UY209_CR6,0,140,209_AL_.jpg",1961,"Drama, History, War            ",190 min,8.8,"His ideals challenged by life as a conscript in war-time Japan's military, a pacifist faces ever greater tests in his fight for survival.",24
Maratonci trce pocasni krug,https://www.imdb.com/title/tt0084302/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BZmE4Njk2MWYtZDRlMy00OTAxLThlNWYtOTU3MGEwNTY4Nzc0XkEyXkFqcGdeQXVyMTAwNjUxNTkz._V1_UY209_CR6,0,140,209_AL_.jpg",1982,"Comedy, Drama            ",92 min,8.8,"The Topalovic family has been in the burial business for generations. When the old (150 yrs old) Pantelija dies, five generations of his heirs start to fight for the inheritance.",25
Balkan Spy,https://www.imdb.com/title/tt0086935/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMmY1NDQ4MmYtZjYyMC00ZTFhLWIxZGUtZTE0YmI3YWNlNTRlXkEyXkFqcGdeQXVyMTk0MjQ3Nzk@._V1_UY209_CR4,0,140,209_AL_.jpg",1984,"Comedy, Drama            ",95 min,8.8,"Convinced that his subtenant is a spy and an enemy of the state, a man falls into deep paranoia which leads to absurd and destructive chain of events.",26
On vam ne Dimon,https://www.imdb.com/title/tt6679360/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BZDBhZTE3OWMtMjE3OC00MzQ2LWFmMGUtN2RmODM1OTBkMjMyXkEyXkFqcGdeQXVyNjE0NjA2MDc@._V1_UY209_CR4,0,140,209_AL_.jpg",2017,Documentary            ,50 min,8.8,"Don't call him Dimon is a 2017 Russian documentary film about the corrupt affairs of Prime Minister of Russia Dmitry Medvedev. According to the film, Dmitry Medvedev has stolen property estimated to be worth about $1.2 billion.",27
L'abécédaire de Gilles Deleuze,https://www.imdb.com/title/tt0408472/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BOGJhY2I4NDItMGFhZS00OGY5LWJkNDktNjBmYWI2MTgzNzQxXkEyXkFqcGdeQXVyMjgxMTkzOQ@@._V1_UY209_CR4,0,140,209_AL_.jpg",1996,Documentary            ,450 min,8.8,"The eight-hour series of interviews between Gilles Deleuze and Claire Parnet, filmed by Pierre-André Boutang in 1988-1989. The individual episodes are ""A comme Animal,"" ""B comme Boisson,"" ""...                See full summary »",28
Interstellar,https://www.imdb.com/title/tt0816692/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR0,0,140,209_AL_.jpg",2014,"Adventure, Drama, Sci-Fi            ",169 min,8.7,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",29
One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR0,0,140,209_AL_.jpg",1975,Drama            ,133 min,8.7,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",30
The Matrix,https://www.imdb.com/title/tt0133093/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX140_CR0,0,140,209_AL_.jpg",1999,"Action, Sci-Fi            ",136 min,8.7,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",31
Goodfellas,https://www.imdb.com/title/tt0099685/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX140_CR0,0,140,209_AL_.jpg",1990,"Biography, Crime, Drama            ",145 min,8.7,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",32
Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX140_CR0,0,140,209_AL_.jpg",1980,"Action, Adventure, Fantasy            ",124 min,8.7,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",33
